Date,INTC_pct_change,Benchmark_pct_change,Abnormal_return,INTC_cum_return,AMD_cum_return,TSM_cum_return,QCOM_cum_return
2025-08-19,,,,,,,
2025-08-20,-6.993277707479939,-1.0302981965285785,-5.96297951095136,-0.06993277707479939,-0.008105710470002747,-0.017619213143515777,-0.005184022282338829
2025-08-21,-0.16992741704168202,-0.7667513490812627,0.5968239320395807,-0.07151321628346752,-0.017051914054952322,-0.02307690239627247,-0.013567987994564934
2025-08-22,5.531911647066168,2.493666982204723,3.0382446648614447,-0.020150147753582592,0.007265034121326952,0.0012462765308345336,0.011263934441524848
2025-08-25,-1.008064547140819,-0.837708964892884,-0.1703555822479349,-0.03002766672929047,-0.019153421692912898,0.012419421691231003,0.0010879925516018574
2025-08-26,-0.814659314892785,1.6940853856809805,-2.5087447005737653,-0.03792963669416316,0.0004202465574734138,0.025870237865967205,0.018687976051985578
2025-08-27,2.053388058180472,0.3072753114894633,1.7461127466910087,-0.018174598742747627,0.003482448636608293,0.028319709601699383,0.022528065307052314
2025-08-28,0.32193127757740303,0.36200182297863776,-0.040070545401234725,-0.015013795684900688,0.012188524419696645,0.02393643058559025,0.02912005484158131
2025-08-29,-2.3265139053593953,-2.2262468066799808,-0.10026709867941452,-0.03792963669416316,-0.02353646410758148,-0.007864210808141148,0.028672011691156296
2025-09-02,-0.5749539827671235,-0.8260084180221691,0.25105443525504556,-0.043461098565012235,-0.025397752326816292,-0.018521691513182392,0.01619201624819322
2025-09-03,-0.8674064122841774,0.08392747233434046,-0.9513338846185179,-0.051758178332051985,-0.026538565523602675,-0.005629555546944109,0.006591989534528775
2025-09-04,2.5416692097981697,1.1880275907498812,1.3536416190482885,-0.027657007916288445,-0.028580064115314108,0.010786462391674023,0.02796095680095978
2025-09-05,-0.48761006199619095,-1.004989204995647,0.5173791429994561,-0.0323982501828034,-0.09252478762981764,0.046024954251500105,0.028797624840957603
2025-09-08,-0.04083392803306829,0.660611993781061,-0.7014459218141292,-0.03279335998497046,-0.09090362721244427,0.06226904032313696,0.03137225245787789
2025-09-09,-0.1633946443083012,1.1451868683890438,-1.308581512697345,-0.03437372383414927,-0.06442507073509074,0.07829824434744426,0.021202694348046336
2025-09-10,1.3502451575080565,2.1213923816798617,-0.7711472241718051,-0.021335401800594456,-0.04208952048740899,0.11920930750735659,0.023069213434812275
2025-09-11,-0.6459420446314978,-0.4675400100699593,-0.17840203456153853,-0.027657007916288334,-0.06532575613001568,0.11263432341039858,0.03954643733509555
2025-09-12,-2.1535988358430846,0.741089220330915,-2.8946880561739996,-0.048597375274204935,-0.047913512946974546,0.1144391490041421,0.04160613942863156
2025-09-15,2.8654507319094025,0.6823040738864158,2.1831466580229866,-0.021335401800594345,-0.03236264960003288,0.12324885393509177,0.037679918248329614
2025-09-16,2.018570814532561,0.5456647650248225,1.4729060495077384,-0.001580363849178812,-0.03656557325908949,0.12617103994583112,0.05647425789784055
2025-09-17,-1.4641900772887517,0.050245032375662024,-1.5144351096644137,-0.016199125091401645,-0.04437105526411722,0.12930817357669455,0.0636830188012143
2025-09-18,22.771084992605385,1.0612281408287034,21.70985685177668,0.2078230082920307,-0.05181629975792079,0.1544478649399772,0.08215561593411125
2025-09-19,-3.2384683709557938,-0.8334331307033205,-2.4050352402524733,0.16870804219136648,-0.05499851992955396,0.1382466634758941,0.07391700398396961
2025-09-22,-2.7721423155483316,2.0582394645643154,-4.830381780112647,0.1363097920085632,-0.04058846977939856,0.1715943638084858,0.09238950290486514
2025-09-23,2.0166895656822614,1.4266751144167127,0.5900144512655487,0.15922563301782566,-0.0339238009711571,0.21491188295098773,0.09116656706332815
2025-09-24,6.407631734796637,0.5504674227066834,5.857164312089954,0.23350454255697306,-0.0340438190636555,0.20631712564016214,0.1170410098943675
2025-09-25,8.872525387684504,-1.1434201195146154,10.01594550719912,0.34294754625358204,-0.03170218362383359,0.18891279454397591,0.09213199103717207
2025-09-26,4.442477925765487,-0.8660097420743806,5.308487667839867,0.4026076945505066,-0.04256977609113166,0.1747313662937604,0.08904253610886936
2025-09-29,-2.87324072609485,-0.3869968090894423,-2.4862439170054076,0.3623073990433414,-0.03116182735699735,0.17417281723085143,0.0639405306689067
2025-09-30,-2.697216698151561,1.04188261156537,-3.739099309716931,0.32556301639619023,-0.02858006411531422,0.20021492139100583,0.0707631219827427
